EP01 IN
EP01：世の中には二種類の人間がいる　|　这个世界上有两种人
EP01：おまえたちガキに何ができる　|　你们这些小鬼能干什么
EP01：ガキだと　ではおまえは何なのだ　|　小鬼吗 那你又算什么
EP01：おとなか　それともスーパーヒーローか？　|　大人吗 还是超级英雄？
EP01：俺は…　|　我…
EP01：ルイス　|　路易斯
EP01：ぶつかっておいてごめんなさいもなし　|　撞了人也不说对不起
EP01：悪い子ね　|　真是个坏孩子
EP01：ごめんなさいね　|　真是对不起
EP01：でも無理もないのよ　|　但也不能都怪他
EP01：ルイスの父親は５人目の犠牲者で　|　路易斯的父亲是第五位受害者
EP01：私立探偵だったんだ　|　是个私人侦探
EP01：町の噂じゃあと少しってところまで犯人に迫ってたらしい　|　镇上传闻说他就快抓到真凶了
EP01：だから殺されたんだってさ　|　所以才被杀
EP01：あの　ルイスさん　|　那个 是路易斯先生吧
EP01：放っておいてくれ　|　别管我
EP01：すごく綺麗です　|　真漂亮啊
EP01：こんな広いお花畑　お手入れが大変ですよね　|　这么大的花田 打理起来很辛苦吧
EP01：町の皆さんでお世話しているのですか　|　是镇上的大家一起照料的吗
EP01：アデリナさんが…　|　是阿德莉娜小姐…
EP01：すごいです　アデリナさん　|　真厉害啊 阿德莉娜小姐
EP01：あんな素敵なお店を切り盛りしている上に　|　不但经营着那么棒的店
EP01：お花畑のお世話まで　|　还照料着这片花田
EP01：あの　アデリナさんからうかがいました　ルイスさんのこと　|　那个 我从阿德莉娜小姐那听说了你的事
EP01：同情なら　|　我不需要同情
EP01：いえ　そうじゃなくて　|　不 不是的
EP01：似ているんです　私たち　|　我们很像
EP01：君もか　|　你也是吗
EP01：大変申し遅れました　|　很抱歉现在才自我介绍
EP01：わたしはアルネ探偵事務所助手　|　我是阿尔涅侦探事务所的助手
EP01：リン・ラインヴァイスといいます　|　琳·莱茵维斯
EP01：アルネ探偵事務所って…　|　阿尔涅侦探事务所…
EP01：まさかあのガキが探偵？　|　难道 那小鬼是侦探？
EP01：はい　アルネ様は我が事務所の所長です　|　没错 阿尔涅大人是我们事务所的所长
EP01：とっても優秀な探偵なんですよ　|　他可是非常优秀的侦探
EP01：ライバルってわけか　|　原来是竞争对手
EP01：ルイスさん　|　路易斯先生
EP01：私たちと手を組みませんか　|　要和我们联手吗
EP01：連続殺人犯を早く確実に捕まえる為に　|　为了能尽早抓住连续杀人犯
EP01：断る　|　我拒绝
EP01：犯人は俺が捕まえると言っただろう　|　我说过由我来抓住凶手
EP01：ブルームンシュタッツの難事件は　|　花城的悬案
EP01：ずっとハルトマン探偵事務所が　|　一直都是哈特曼侦探事务所
EP01：父さんが解決してきたんだ　|　我的父亲解决的
EP01：今は俺が父さんの後を継いでいる　|　现在我会继承父亲的衣钵
EP01：誰の助けも情けも受けない　|　决不接受任何人的帮助与怜悯
EP01：それなら情報交換だけではどうですか　|　那么只交换情报如何
EP01：これは助けでも情けでもありません　|　不是帮助也非怜悯
EP01：あくまで自分の目的のために相手を利用するわけです　|　只是为了各自的目的去利用对方而已
EP01：もしも俺が嘘の情報を流したら　|　如果我给了你假情报呢
EP01：その時はこのリン・ラインヴァイス　|　那时我琳·莱茵维斯
EP01：アルネ様の助手の名にかけて　|　会赌上阿尔涅大人的助手之名
EP01：嘘だと見抜いてみせますよ　|　识破虚假的情报
EP01：わかった　情報交換だけだ　|　我知道了 就只交换情报
EP01：この事件のことが耳に入ったとき　|　当听到这个案件时
EP01：我々はすぐ近隣の町や村にも似たような事件が起こっていないかを調査した　|　我们立即调查了附近城镇是否发生过类似案件
EP01：が　引っかかるものは一件もなかった　|　然而 没有一件与其相关
EP01：墓掘りの吸血鬼事件はこの村にだけ起こっているのです　|　掘墓吸血鬼案件只发生在这个村子
EP01：それだけ犯人にとって　|　也就是说对犯人而言
EP01：この村で犯罪を犯すことに意味があるということだ　|　在这个村子犯下罪行是有意义的
EP01：そしてもう一つ　|　还有一件事
EP01：犯人の真の目的は大量の血液を奪うことにあるのだよ　|　凶手真正的目的是夺取大量的血液啊
EP01：ルイス君　|　路易斯
EP01：アルネ様　血を奪う目的は何なのでしょう　|　阿尔涅大人 凶手夺取血液是为了什么
EP01：知るか　|　我哪知道
EP01：そもそも血を集めているから　|　说到底就是因为在收集血
EP01：墓掘りの吸血鬼って呼ばれているのよね　|　所以才被叫做掘墓吸血鬼
EP01：犯人は抜き取った血をどうしているのでしょうか　|　凶手要用抽出的血做什么呢
EP01：ルイスさんはどう思われますか　|　路易斯先生是怎么想的
EP01：飲むんじゃないか　|　是拿来喝的吧
EP01：吸血鬼だからじゃない　|　不是因为凶手是吸血鬼
EP01：吸血鬼だと思い込んでいる人間だからだ　|　而是因为凶手是深信自己是吸血鬼的人类
EP01：本物の吸血鬼など　この世にいないと　|　你的意思是 这世上没有真正的吸血鬼
EP01：当然だ　|　当然了
EP01：事件は現実世界で起こっているんだ　|　这是在现实世界发生的真实案件
EP01：はい　|　是
EP01：なんだ　リン・ラインヴァイス　|　怎么了 琳·莱茵维斯
EP01：私もこの犯人は吸血鬼ではないと思っています　|　我也认为凶手不是吸血鬼
EP01：だから吸血鬼なんて…　|　所以说吸血鬼什么的…
EP01：まあ　ちょっと聞いてください　|　请先听我说完
EP01：アルネ様と私は今朝　死体安置所へ行き　|　阿尔涅大人和我今早去了尸体安置所
EP01：一番新しい十一番目の犠牲者の遺体を見せてもらいました　|　观察了最新的第十一个受害者的遗体
EP01：遺体には吸血鬼の噛み跡のようなものは一切ありませんでした　|　遗体上根本没有疑似吸血鬼的咬痕
EP01：これが私が犯人を吸血鬼ではないと思う根拠その一です　|　这就是我认为犯人并非吸血鬼的第一条证据
EP01：そして根拠その二　|　然后第二条证据
EP01：それは犯人が盗んだ大量の血液にあります　|　就是犯人偷走的大量血液
EP01：犯人はとてつもない力で体を絞り　|　我认为犯人是用超常的力量拧紧受害者身体
EP01：大量の血液を集めていると考えられます　|　收集了大量的血液
EP01：そうして集めた血液には　|　而这样收集到的血液
EP01：不純物が大量に混ざってしまうはずです　|　一定含有大量的杂质
EP01：吸血鬼は皆　たいへんな美食家なので　|　吸血鬼们都是极致的美食家
EP01：不純物が入った血液を好むわけがないのです　|　不可能喜欢混有杂质的血液
EP01：故に連続殺人犯吸血鬼説は100%ありえません　|　所以连续杀人犯是吸血鬼的说法百分百不可能
EP01：その推理は　|　你的推理
EP01：吸血鬼などという非現実的なものが存在していると仮定し　|　从假定吸血鬼这种非现实的生物存在
EP01：論じられている時点で100%ありえない　|　并进行论述时就已经百分百不成立了
EP01：でも…　|　可是…
EP01：まだあるなら話せ　おまえの掴んだ情報を　|　还有什么掌握的情报 说出来
EP01：犠牲者は皆　大柄な男ばかりだ　|　被害者都是身材魁梧的男性
EP01：年齢　職業　既婚か未婚か　|　年龄 职业 婚姻状态
EP01：趣味は何かなどはバラバラだが　|　兴趣等都不一致
EP01：体格は共通している　|　相同点只有体格
EP01：大柄な男からなら血液も沢山集められるというわけか　|　因为从体型大的男人身上能收集到大量血液啊
EP01：犯行時刻は全て深夜から朝方にかけてだ　|　犯罪时间都是在深夜到清晨之间
EP01：それも被害者がひとりだけでいるところを見事に狙っている　|　而且精确瞄准了受害者孤身一人的时机
EP01：結構情報通なのね　この犯人　|　这凶手消息挺灵通的
EP01：そしてたった一晩で　|　然后从只需一晚
EP01：この特殊な殺人をやりとげていることから　|　就能实行这种特殊的杀人方式判断
EP01：犯人自身も大柄な男である　|　凶手自己也是个身材魁梧的男性
EP01：あるいは複数犯の犯行であると考えられる　|　或者是多人犯案
EP01：よく調査し分析しているな　|　你调查分析得很仔细
EP01：ヴィンセント・ハルトマンの息子だからな　|　因为我是文森特·哈特曼的儿子
EP01：俺の情報はこれで全部だ　|　我掌握的情报就是这些
EP01：情報交換が終わったら　|　情报交换之后
EP01：お茶の時間にしようと思っていたのですが　|　本来是打算一起喝茶的
EP01：そんなヒマはない　|　我没那闲工夫
EP01：後は俺ひとりでやらせてもらう　|　之后我会自己去调查
EP01：リンちゃんの好意を無下にする者は万死に値するって知ってる　|　你知道无视琳的好意罪该万死吗
EP01：いや　|　不知道
EP01：知ってるわよね　|　你知道的吧
EP01：わかった　|　知道了
EP01：はい　どうぞ　|　给 请喝
EP01：ココア　|　可可
EP01：ルイスさんがお好きだってアデリナさんからうかがったんです　|　听阿德莉娜小姐说你喜欢
EP01：はい　どうぞ　|　给 喝吧
EP01：マシュマロいり？　|　放了棉花糖？
EP01：もちろん　|　当然
EP01：やったあ　|　太好了
EP01：ルイスさん　|　路易斯先生
EP01：事件が解決したら私たちと一緒に来ませんか　|　案件解决后要不要加入我们
EP01：アルネ様はすごい探偵なので　|　阿尔涅大人是很厉害的侦探
EP01：きっと勉強になりますよ　|　你肯定能学到很多
EP01：おい　勝手に助手を増やそうとするな　|　喂 别擅自给我增加助手
EP01：こういう優しさもリンちゃんの魅力のひとつなのよね　|　这种体贴也是琳的魅力之一
EP01：もちろん　よく考えてからのお返事で構いません　|　当然 你可以先仔细考虑一下
EP01：考えとく　|　我会考虑的
EP01：はい　|　好的
EP01：これトマトジュースです　|　这是番茄汁
EP01：トマトジュースって…　|　番茄汁就是…
EP01：色が赤くて血液みたいじゃないですか　|　跟血一样颜色鲜红
EP01：だから血液だって妄想しながら飲むと　|　所以把它当成血来喝
EP01：吸血鬼の気分になれるっていうか…　|　就好像自己就是吸血鬼…
EP01：ルイス　|　路易斯
EP01：血の匂いがするな　|　有血的味道
EP01：それなら　|　那应该是
EP01：他にもあるだろう　|　还有其他的吧
EP01：それは？　|　那是？
EP01：母さんが一番大切にしていたハンカチ　|　是我母亲最珍惜的手帕
EP01：父さんが殺された時　持っていたんだ　|　父亲被杀时把它拿在手上
EP01：お母さまを愛していらしたのですね　|　他一定很爱你母亲吧
EP01：現実を見る癖をつけるんだ　|　要养成观察现实的习惯
EP01：それもただ見るんじゃない　|　而且不能仅浮于表面
EP01：観察しろ　|　还要仔细观察
EP01：ハルトマンは墓掘りの吸血鬼に殺されたんだ　|　哈特曼是被掘墓吸血鬼杀死的
EP01：だが　こんな殺し方普通の人間じゃ…なあ　|　但这种杀人手法普通人怎么可能……对吧
EP01：それだけ犯人にとって　|　也就是说对犯人而言
EP01：この村で犯罪を犯すことに意味があるということだ　|　在这个村子犯下罪行是有意义的
EP01：ああ　この大きな穴だって…　|　这个巨大的坑也…
EP01：犯人は抜き取った血をどうしているのでしょうか　|　凶手要用抽出的血做什么呢
EP01：あるいは複数犯の犯行であると考えられる　|　或者是多人犯案
EP01：あの二人…　|　是那两个人…
EP01：ルイス　大変だ　ルイス　|　路易斯 不好了 路易斯
EP01：オドが死んだ？　|　欧德死了？
EP01：ああ　自ら命を絶った　|　是啊 他自杀了
EP01：そんな…　|　怎么会…
EP01：それだけじゃない　|　不仅如此
EP01：墓掘りの吸血鬼は自分だという遺書がのこされていたよ　|　他还留下遗书说自己就是掘墓吸血鬼
EP01：ちが…　|　不对…
EP01：ルイス　これで君のお父さんも浮かばれるだろう　|　路易斯 这样你的父亲也能安息了吧
EP01：ルイスさん　|　路易斯先生
EP01：アデリナさんが墓掘りの吸血鬼だったんだね　|　阿德莉娜小姐就是掘墓吸血鬼吧
EP01：夕べあなたは共犯だったオドを殺した　|　昨晚你杀了你的同伙欧德
EP01：やだルイス　何を言ってるの　|　讨厌啦路易斯 你在说什么
EP01：自殺に見せかけたのはオドの単独犯だと偽装する為だ　|　伪造成自杀是为了制造凶手单独作案的假象
EP01：疲れてるのね　|　你一定是太累了
EP01：だから根を詰めちゃダメって言ったのに　|　所以我才说不要把自己逼得太紧了
EP01：父さんと母さんが真実を教えてくれたんだ　|　是父亲和母亲告诉了我真相
EP01：可哀そうなルイス　|　可怜的路易斯
EP01：二人ともとっくに死んでるじゃないの　|　那两人不是早就死了吗
EP01：殺された時　父さんが持っていた母さんのハンカチだ　|　被杀的时候 父亲拿着母亲的手帕
EP01：父さんはこれにダイイングメッセージを残したんだ　|　父亲在这上面留下了死前讯息
EP01：俺なら気づくそう信じて　|　他相信我一定能发现
EP01：ルイス　|　路易斯
EP01：白い花に赤い液体を与えれば　|　给白花浇灌红色液体
EP01：それを吸い上げて花弁は赤く染まる　|　花朵就会吸收 将花瓣染成红色
EP01：白い花を赤く染めている者が犯人だと　|　将白花染红的人就是凶手
EP01：父さんはそれを俺に伝えたんだよ　|　父亲就是想告诉我这个
EP01：この花大好きなの　|　我最喜欢这些花了
EP01：色以外はね　|　除了颜色
EP01：だから変えるの　|　所以我改变了它
EP01：ほら　似合うでしょ　私に　|　看 很适合我吧
EP01：たかが花の色じゃないか　|　不就只是花的颜色吗
EP01：そんなことの為になぜ…　|　为什么要为了这种事…
EP01：私が望む色に染めるには　|　要染成我想要的颜色
EP01：人間の血が一番なの　|　人血是最合适的
EP01：私の瞳の色みたいに真っ赤な血がね　|　同我眼睛颜色一样鲜红的血
EP01：ひとつだけ間違ってるわ　ルイス　|　你搞错了一件事 路易斯
EP01：私の共犯はオドじゃない　ゴーレムなの　|　我的同伙不是欧德 而是魔像
EP01：私はゴーレム使いの魔女だから　|　我是操纵魔像的魔女
EP01：墓穴…　|　墓穴…
EP01：さよなら　ルイス　|　再见了 路易斯
EP01：アルネ　|　阿尔涅
EP01：ここからは我が引き継いでやろう　|　接下来交给我吧
EP01：まさか　吸血鬼　|　你该不会是 吸血鬼
EP01：我はただの吸血鬼ではない　|　我可不是普通的吸血鬼
EP01：ゴーレム　|　魔像
EP01：吸血鬼には頂点に立つ九人の王がいる　|　吸血鬼中有九位立于顶点的王
EP01：遥か昔　その王たちが世界を支配する為に　|　在遥远的过去 他们为了支配世界
EP01：それぞれの心臓を捧げ　|　献上了各自的心脏
EP01：最強にして最凶の吸血鬼を誕生させた　|　塑造了最强最凶暴的吸血鬼
EP01：我こそがアルネ・ノインテーター様だ　|　正是我 阿尔涅·尼塔特
EP01：吸血鬼は存在する　|　世界上有吸血鬼
EP01：魔女もゴーレムも　|　还有魔女 魔像
EP01：しかも彼はアルネ・ノインテーターはヒーローだ　|　而他阿尔涅·尼塔特则是英雄
EP01：父さん　これが現実世界だよ　|　父亲 这就是现实世界
EP01：ルイスさんっ　|　路易斯先生
EP01：ルイスさん　ルイスさん　ルイスさん　|　路易斯先生 路易斯先生 路易斯先生
EP01：頭の中でドアが閉まる音がした　|　脑海中响起门扉关闭的声音
EP01：俺の短い一生が終わる音　|　那是我短暂人生结束之声
EP01：ゴーレム　|　魔像
EP01：ネクロマンサーの能力を使ったの　|　我用了死灵术士的力量
EP01：復讐させてあげるわ　ルイス　|　去复仇吧 路易斯
EP01：ぜんぜん来ないではないか　|　车根本不来啊
EP01：しょうがないでしょ　|　没办法啊
EP01：ここのバスは一日に三本しかないんだから　|　这里的公交车一天只有三趟
EP01：よし　歩くぞ　|　好 走着去吧
EP01：来い　リン・ラインヴァイス　|　跟上 琳·莱茵维斯
EP01：はい　|　好
EP01：よく寝た　|　睡饱了
EP01：やっと起きましたね　|　终于醒了
EP01：ちょっと　いくら何でも寝すぎでしょ　|　你睡得也太久了吧
EP01：こっちはいろいろ大変だったんだから　|　我们可是遇到不少麻烦
EP01：そんなの知らねーし　|　我才不管呢
EP01：何その言い方　腹立つ　|　你那什么口气 好气
EP01：こうしてアルネ探偵事務所のひとつの事件が解決しました　|　就这样 阿尔涅侦探事务所又解决了一个案件
EP01：でも　休んでるヒマはありません　|　但是我们没空休息
EP01：アルネ様と私の前には　|　在阿尔涅大人和我面前
EP01：まだまだ沢山の難事件が待ち受けているのですから　|　还有很多棘手的案件在等待
EP01：#路易斯・哈特曼 最初的案件
EP01：#自掘坟墓
EP01：#数月后
EP01：#注：古拉什，匈牙利传统菜肴，是一种以肉和蔬菜为主料并加入菜椒粉，具甜味的汤或者浓汤
EP01：#注：ブルームンシュタッツ，即Blumenstadt，译为花城，是奥地利下奥地利州的市镇
EP01：#哈特曼侦探事务所
EP01 OUT

