EP01 IN
EP01：「眠りから目覚めたら」　|　「从睡梦中醒来」
EP01：ばか　|　笨蛋
EP01：私は１人　|　我独自一人
EP01：違う国の女王の玉座の片隅で眠る　|　睡在他国女王的王座之侧
EP01：私の好きな夜　|　是我喜欢的夜晚
EP01：今日も全国的に快晴　|　今天也是全国晴天
EP01：空気の乾燥にご注意ください　|　请注意预防干燥
EP01：次のニュースです　|　下一条新闻
EP01：昨夜中央道大月パーキングエリアに停車中の乗用車が　|　昨晚在中央高速公路大月停车场内
EP01：トラックに追突される事故が発生しました　|　发生了一起停车中的私家车被卡车追尾的事故
EP01：警察によりますと　|　据警方消息
EP01：車内にいた田汲はじめさんと高代実里さんが　|　车内乘员田汲初以及高代实里
EP01：病院に搬送されましたが　死亡　|　虽被送往医院但不治身亡
EP01：田汲さんの長女は車外にいたため…　|　田汲先生的长女因为当时未在车内…
EP01：槙生　|　槙生
EP01：何か言うことはないの　|　你没什么想说的吗
EP01：あんたがだめだから言ってやってんの　|　都是因为你不对我才要教训你
EP01：姉として　|　身为你的姐姐
EP01：急停止します　|　紧急制动
EP01：ご注意ください　|　请注意
EP01：Attention please　|　请注意
EP01：お客様にお知らせします　|　各位乘客请注意
EP01：ただ今緊急停止を知らせる無線を受信したため　|　由于刚才收到紧急停车的通知
EP01：急停車いたしました　|　因此进行了紧急制动
EP01：安全確認を行っております　|　正在进行安全确认
EP01：発車まで…　|　请耐心等待…
EP01：ああ　槙生　|　啊 槙生
EP01：悪いわね　朝早く　|　抱歉啊 一大早的
EP01：確認は　|　确认了吗
EP01：確認？　|　确认？
EP01：だから　遺体の…　|　就是 遗体的…
EP01：そんな怖いこと…　|　这么可怕的事…
EP01：今も「解剖するんです」なんて言われて　|　他们刚刚还说「需要解剖」什么的
EP01：断れないって言うのよ　|　好像不能拒绝哦
EP01：ほんと　こんな殺風景なとこで待たせて　|　真是的 还让我们在这种地方等着
EP01：槙生ちゃん？　|　小槙？
EP01：そうそう　槙生叔母ちゃん　|　没错没错 是槙生姨妈
EP01：ママの妹　|　妈妈的妹妹
EP01：覚えてないか　|　你可能没印象了
EP01：小さいころに会ったっきりだもんね　|　毕竟你长大后就没见过她了
EP01：じゃあ私手続きしてくるから　|　那我现在去办手续
EP01：しばらくあなたのとこ寄せてやって　|　暂时先让她住你那里
EP01：ホテル取るよ　|　住酒店啊
EP01：うち布団もないし　|　我家连被子都没有
EP01：薄情なこと言うんじゃないの　|　别说这么无情的话
EP01：１人じゃあんまりでしょ　|　她一个人也太可怜了吧
EP01：じゃあよろしくね　|　那就拜托你了
EP01：槙生です　|　我叫槙生
EP01：えっと　|　怎么称呼
EP01：田汲朝です　|　我叫田汲朝
EP01：朝　よし　|　朝 好
EP01：何か食べるか　|　吃点什么吧
EP01：何か食べるか　|　吃点什么吧
EP01：それでいい　|　你觉得呢
EP01：いい　|　吃
EP01：どうぞ　|　请
EP01：いただきます　|　我开动了
EP01：足りなかったら言って　|　不够的话直说
EP01：食べたいだけ食べていいから　|　想吃多少吃多少
EP01：ふぁい　|　好
EP01：もう１杯飲む？　|　再来一杯？
EP01：あ…ありがふぉう　|　谢…谢谢
EP01：まだ時間あるから　|　还有时间
EP01：寝てもいいよ　|　你可以睡一会
EP01：いらっしゃいませ　|　欢迎光临
EP01：悲しい　|　悲伤吗
EP01：わからない？　|　自己也不清楚？
EP01：別に変じゃない　|　这没什么好奇怪的
EP01：悲しくなるときが来たら　そのとき悲しめばいい　|　感受到悲伤的时候 再悲伤就好
EP01：槙生ちゃんは悲しい　|　小槙会悲伤吗
EP01：嘆かわしいことに全く悲しくない　|　可惜的是我一点也没感到悲伤
EP01：姉が嫌いだったから　|　因为我讨厌姐姐
EP01：あなたを気の毒だと思う分　それが悲しい　|　我只是觉得你很可怜 这才令我悲伤
EP01：日記…　|　日记…
EP01：日記をつけるといいかもしれない　|　写点日记或许不错
EP01：この先　誰が何をあなたに言い　|　在这之后 谁对你说了什么
EP01：誰が何をあなたに言わなかったか　|　谁又对你隐瞒了什么
EP01：今あなたが何を感じ　何を感じていないのか　|　现在的你感受到了什么 未能感受到什么
EP01：それを日記に書けばいい　|　把这些写到日记里就好
EP01：たとえ二度と開かなくても　|　即便此后再也没翻开过它
EP01：いつかそれがあなたの灯台になる　|　或许某天它会成为你的灯塔
EP01：日記なんて　朝顔の記録しかやったことがない　|　日记 我只用来记录过牵牛花
EP01：そう言ったら　|　我如是说
EP01：朝顔の観察日記なんか　|　像牵牛花观察这类日记
EP01：大人になってからやったほうが楽しいに決まっている　|　等到长大后再写肯定更加有趣
EP01：と彼女は答えた　|　她答道
EP01：日記　|　日记
EP01：昨日お父さんとお母さんの乗った車が…　|　昨天父亲和母亲坐着的车被…
EP01：でも実里ちゃんの実子じゃないんでしょ　|　但她不是实里的亲女儿啊
EP01：誰が私に何を言って　|　谁对我说了什么
EP01：いや　血はつながってるらしいって　|　没 好像有点血缘关系
EP01：らしいって何　|　什么叫好像
EP01：いや　|　这个嘛
EP01：誰が私に何を言わなかったか　|　谁又对我隐瞒了什么吗
EP01：結局向こうはどなたもいらしてないの　|　结果对方一个人都没来
EP01：その意味を私はすぐに悟った　|　其中深意我马上就领会了
EP01：京子さんがそれを言っちゃあだめでしょ　|　这话由京子你来说不太好吧
EP01：ほんと気の毒だとは思うけど　|　虽然确实很可怜
EP01：ヒューストンからマグロに乾燥注意報なのよね　|　休斯顿对金枪鱼发出干燥预警
EP01：ほんとオーブンシステム　|　真是烤箱系统
EP01：特技音だけ聞いて言葉を聞かないを発動　|　特技 左耳朵进右耳朵出
EP01：四万十のフラフープかしら　|　这是四万十的呼啦圈吗
EP01：それしめ縄？　|　这是稻草绳？
EP01：それはわしの作った皿だ　|　这是我做的碗
EP01：いやいや　|　不不
EP01：でもこれじゃ　書けないな日記に　|　但这些 写不进日记
EP01：朝　|　朝
EP01：それか猫あるいは犬　|　那是猫 或者狗
EP01：朝　|　朝
EP01：水が　|　水
EP01：朝　|　朝
EP01：おはよ　|　早上好
EP01：なんか食べるか　|　吃点什么吧
EP01：なんか食べるか　|　吃点什么吧
EP01：なんで２回　|　为什么要说两遍
EP01：なんか手伝う　|　我帮你吧
EP01：ああ　うん　|　嗯 好
EP01：えっと　|　这个
EP01：洗う　|　要洗吗
EP01：はい　|　要
EP01：はい　|　好
EP01：２枚　２枚　|　两块 两块
EP01：あの　他に　|　那个 还有吗
EP01：えっと　|　那
EP01：じゃあ冷蔵庫にキャベツ千切りに　|　那把冰箱里的卷心菜切成丝吧
EP01：はい　|　好
EP01：34枚　|　三四片
EP01：はい　|　好
EP01：どうぞ　|　请
EP01：はい　|　好
EP01：いただきます　|　我开动了
EP01：待って　|　等下
EP01：だからウインナーは別で食べてたの　|　所以你才把香肠分开吃吗
EP01：言ってくれればいいじゃん　|　早点和我说不就好了
EP01：ごめん　|　抱歉
EP01：あの　まさかだけど　|　那个 莫非
EP01：人見知り？　|　你怕生？
EP01：違う　|　不是的
EP01：いや　違わない　|　不 你说的也没错
EP01：その　昨日は　|　那个 昨天
EP01：完全に勢いであんなことを言ってしまって　|　我完全是一时冲动才说了那些话
EP01：じゃあ私…　|　那我…
EP01：いや　それは語弊で　大語弊で　|　不对 有用词不当 严重的错误
EP01：見過ごせなかったのは本心で　|　当时我是真的觉得看不下去
EP01：でも　自分が別の生き物と　|　但是 自己没法跟其他生物
EP01：長時間同じ空間にいられないんだということを　|　同处一个空间太长时间这一点
EP01：ころっと忘れて　|　一不小心给忘了
EP01：いや　悪いとは思ってる　|　我也很不好意思啦
EP01：でも　その　|　不过 那个
EP01：「はあ」って言うのやめて　|　你不用反应这么大吧
EP01：傷つく　|　很伤人
EP01：いや　大人でも傷つくんだなって　|　不是 大人也会感到受伤吗
EP01：ごめんなさい　|　对不起
EP01：姉さんはそういう顔を見せなかったかもしれないけど　|　我姐姐可能确实不会这样
EP01：槙生ちゃんはなんで嫌いなの　|　为什么小槙会讨厌呢
EP01：お母さんのこと　|　讨厌妈妈
EP01：わざわざ人の悪口を聞くもんじゃない　|　没必要特意去问别人的坏话
EP01：言っておかないとフェアじゃないと思っただけ　|　我只是觉得不提前说清楚对你不公平
EP01：変な人　|　奇怪的人
EP01：日記？　|　日记？
EP01：ほんとにつけるんだ　|　你还真要写啊
EP01：つけるといいって　|　不是你说的嘛
EP01：うん　|　嗯
EP01：じゃあ書きかけのとこ破って使って　|　那就把写过的地方撕了 用剩下的部分吧
EP01：どうも　|　谢谢
EP01：変な人　|　奇怪的人
EP01：今日から　変な人と暮らし始めた　|　今天 我开始和一个奇怪的人一起生活
EP01：それは…　|　那是…
EP01：砂漠　|　沙漠
EP01：見渡すかぎりの乾いた砂　|　一望无垠的干燥沙子
EP01：何もない　|　什么都没有
EP01：ここには何も　|　这里什么都没有
EP01：夕飯？　|　晚饭？
EP01：買い物行くなら手伝う　|　要去买东西的话 我能帮忙
EP01：日記は　|　日记这种东西
EP01：書きたくないことは書かなくていい　|　不想写的东西可以不写
EP01：今書きたいことを書けばいい　|　只写自己想写的就行了
EP01：本当のことを書く必要もない　|　也没有记录真实的必要
EP01：日記なのに　|　不是日记吗
EP01：日記なのに　|　反正是日记
EP01：別に誰にも怒られないし　|　没人可以管你写什么
EP01：苦しいことをわざわざ書くことはない　|　所以没必要特意写那些痛苦的事情
EP01：なんか　なんか書こうと思ったんだけど　|　总觉得 总觉得想写点什么
EP01：お父さんもお母さんも　もういない　|　爸爸妈妈 都不在了
EP01：なんかポツーン　ポカーンとしちゃって　|　感觉忽然就留我孤零零一个
EP01：砂漠の真ん中に　放り出された感じで　|　像是被遗弃在沙漠的正中央
EP01：ぞわっとする　|　好可怕
EP01：朝　|　朝
EP01：水が欲しい　|　好想喝水
EP01：朝　|　朝
EP01：せめてたらいに張った　|　哪怕是装在盆里的
EP01：水があれば　|　只要有水的话
EP01：朝　|　朝
EP01：何よ大きな声で　|　干嘛这么大声
EP01：そうよね　悲しいわよね　|　是啊 很难过吧
EP01：かわいそうに　|　真可怜啊
EP01：たらいって漢字でどう書くんだっけ　|　盆这个汉字怎么写来着
EP01：私はあなたの母親が心底嫌いだった　|　我真心讨厌你妈妈
EP01：死んでなお憎む気持ちが消えないことに　|　即便她死了 这份讨厌也没有消失
EP01：うんざりしている　|　让我更烦了
EP01：だから残念だけど　|　所以很遗憾
EP01：あなたのことも　通りすがりの子どもに思う程度にも　|　我甚至无法像体贴一个陌生小孩那样
EP01：思い入れることができない　|　体贴你
EP01：でも　あなたは15歳の子どもは　|　但是 你一个十五岁的小孩
EP01：こんな醜悪な場にふさわしくはない　|　一点也不适合这种丑陋的场面
EP01：あなたはもっと美しいものを受けるに値する　|　你值得更加美好的东西
EP01：あなたの寝床はそこ　|　你就睡那里吧
EP01：部屋はいつも散らかっているし　私は大体不機嫌だ　|　我的房间总是很乱 我也总是心情不好
EP01：あなたを愛せるかどうかもわからない　|　我不知道自己能不能变得爱你
EP01：だけど私は決してあなたを踏みにじらない　|　但我绝不会不尊重你
EP01：この日　この人は　|　这一天 这个人
EP01：それでよければ　明日もあさっても　|　如果这样可以的话 无论明天还是后天
EP01：ずっとうちに帰ってきなさい　|　你永远可以回我家
EP01：たらい回しはなしだ　|　不会被当成盆推来推去
EP01：群れをはぐれたおおかみのような目で　|　她的视线就像是离群索居的一匹狼
EP01：私の生涯孤独の運命を退けた　|　击退了我孤独终生的命运
EP01：それからたらいは　|　还有那个字
EP01：臼に水を入れて　下に皿を敷くと書く　|　写作臼里添个水 下面再接个皿
EP01：たらいの字も知っていた　|　她还知道盆字怎么写
EP01：ちょっと槙生さん　|　槙生你干嘛啊
EP01：帰る　|　回家
EP01：一緒に帰る　|　一起回家吧
EP01：行こう　|　走吧
EP01：乾いたすしは食べるに値しない　|　干掉的寿司不值一吃
EP01：本当のすしという物を食べるぞ　|　我们去吃真正的寿司
EP01：誰もいない　|　一个人都没有
EP01：何も見つからない　|　什么东西都看不见
EP01：どこまでも広がる広大な砂漠　|　无边无际 广袤无垠的沙漠
EP01：大人にもこんな砂漠があるのだろうか　|　大人的心中也会有这样的沙漠吗
EP01：私はどこかにたどりつけるのだろうか　|　我将会去往何方呢
EP01：ポツン　|　孤零零的
EP01：私は１人　|　只有我一人
EP01：ポツン　|　孤零零的
EP01：私は　|　我
EP01：わかるよ　|　我懂你的意思
EP01：それはきっと　孤独だね　|　那一定就是 孤独吧
EP01：孤独　|　孤独
EP01：ここは見知らぬ砂漠の土地　|　这片土地是陌生的沙漠
EP01：私はそこでたった１人で玉座に座る　|　在这里我遇见了一位独自一人端坐王位的
EP01：違う国の孤独な女王に出会ったのだ　|　孤独的他国女王
EP01：#四季豆 378日元 价格 408日元
EP01：#四季豆贵得吓人。小槙说想吃四季豆所以去买了。但可能要被四季豆搞破产了。
EP01：#已保存 返回
EP01：#确认之前说的
EP01：#满溢
EP01：#紧急制动！请抓稳您附近的扶手或吊环。请注意，行驶过程中可能会为了确保安全而紧急制动。
EP01：#注：四万十，日本地名
EP01：#累赘
EP01 OUT

EP02 IN
EP02：あのさ　|　那个
EP02：掃除してもいい　|　我可以打扫一下吗
EP02：無理しなくても　|　你不用勉强自己
EP02：いや　無理っていうか　|　没 不算是勉强
EP02：掃除好きだし　|　我喜欢打扫
EP02：やりたいっていうか　|　应该算我想要打扫
EP02：ならどうぞ　|　那你搞吧
EP02：小説？　|　小说？
EP02：ほんとに書いてるんだ　小説　|　你真的在写小说啊
EP02：だったら　|　所以呢
EP02：小説なんて…　|　小说这种东西…
EP02：あんたもう少し…　|　你就不能稍微…
EP02：歌がうまい　|　哼得真好啊
EP02：日記なのか　|　这是日记吗
EP02：あの　|　我说
EP02：あの　|　我说
EP02：はい　|　怎么了
EP02：それ開いてると　つい読んでしまって申し訳ないので　|　抱歉 翻开在那摆着 我一不小心就看到了
EP02：もう少しこそこそと　|　要不要稍微藏着点
EP02：別にいいけど読んでも　|　你看到也没事啊
EP02：いや　日記なんだから　|　不 这不是日记吗
EP02：そこはもっとこう…　|　不是应该更…
EP02：夕飯にしよう　|　吃晚饭吧
EP02：あ　はい　|　啊 好
EP02：昨日も鍋だったような…　|　昨天吃的好像也是火锅…
EP02：うち基本的に　|　我们家基本上就是
EP02：鍋鍋　丼丼　しょうが焼きしょうが焼き　刺身で回してんだけど　|　火锅火锅 盖饭盖饭 姜汁烧肉姜汁烧肉 刺身这样轮流来的
EP02：回すって？　|　轮流？
EP02：１週間　|　一周七天
EP02：昼はうどん　|　中午吃乌冬
EP02：何曜日が　|　周几
EP02：毎日　|　每天
EP02：「最近どう？」　|　「最近怎么样？」
EP02：同級生から　|　同学发的
EP02：なんて返したらいいかなって　|　我在想该怎么回比较好
EP02：そういえば　私もそんなライン来てたな　|　说起来也有人给我发了类似的
EP02：なんて返したの　|　你是怎么回的
EP02：いや　まだ　|　没 我还没回
EP02：そろそろ返すか　|　是该回一下了吧
EP02：すっげえ　|　厉害
EP02：マジ突然の子持ちだ　|　突然一下就有孩子了
EP02：すっげえっしょ　|　厉害吧
EP02：入って　寒いから　|　进来吧 外面冷
EP02：ういっす　|　谢了
EP02：朝ちゃんだよね　|　你是小朝吧
EP02：槙生から聞いた　|　槙生她告诉我了
EP02：醍醐奈々です　|　我是醍醐奈奈
EP02：いくつ　|　你多大了
EP02：15　|　15
EP02：15　ウケる　|　15 好好笑
EP02：ねえねえ　あれ出してよ　煮出し紅茶　|　对了 给我喝那个煮的红茶吧
EP02：ウケた　どこが　|　好笑 哪里
EP02：シナモンが死んでなきゃいける　|　如果肉桂还没坏的话
EP02：マジ？　|　真假？
EP02：いや　なんか片づいてるし　|　哎呀 好像收拾了一番嘛
EP02：座れる　ほら　|　都能坐了 你看
EP02：あなたオフショルってどうなのよ　|　你怎么还穿个露肩的衣服啊
EP02：ていうかシナモンって死ぬの　|　话说肉桂还能坏吗
EP02：なんならもうミイラじゃん　|　那都要成木乃伊了吧
EP02：この会話成り立ってるのかな　|　这说的话前后相接吗
EP02：この会話成り立ってる　|　你说的话前后相接吗
EP02：聞こえてはいる　|　我都听着呢
EP02：で　シナモンって死ぬの　|　所以呢 肉桂都能放坏吗
EP02：うっさい　|　烦死了
EP02：わかってるんだ　|　她们也知道啊
EP02：えっと…　|　就是…
EP02：大人が友達してるとこってあんま見たことないなって　|　我平时没怎么见过大人和朋友相处…
EP02：へ　お母さんは　|　是吗 你妈妈呢
EP02：だめな大人を見るのが初めてってことじゃん　|　是没见过这么不成气候的大人吧
EP02：あ　それか　|　哦 原来如此
EP02：普通の大人そんな笑わねえから　|　正常的大人不会笑成这样啊
EP02：「笑わねえから」　|　「不会笑」
EP02：ウケる　|　好好笑
EP02：おなか減った　|　肚子饿啦
EP02：ごはん作ろ　ごはん　|　来做饭吧 做饭
EP02：これは　|　这个呢
EP02：デザート　|　甜点
EP02：てか君　ちゃんと自炊してんの　|　话说 你有在自己做饭吗
EP02：作ってるこの人　|　她有在做饭吗
EP02：あっと…　|　这个…
EP02：お　鍋　鍋　丼　丼　焼き　焼き　刺身　|　哦 火锅火锅 盖饭盖饭 姜汁烧肉姜汁烧肉 刺身
EP02：ちゃんとしてんじゃん　|　有在好好做嘛
EP02：十分じゃない　|　这不是挺好的
EP02：２人分作るのがまだちょっと…　|　要做两人份还是稍微有点…
EP02：そこは慣れだ　慣れ　|　习惯就好了 习惯
EP02：君のお姉さん専業主婦？　|　你姐姐是专业主妇？
EP02：知らない　|　不知道
EP02：知らない　ウケる　|　不知道 好好笑
EP02：なるほどですね　|　原来如此啊
EP02：これが大人の会話　|　这就是大人间的对话
EP02：わかりました　|　我明白了
EP02：今日は君たちのために晩ごはんを作ってあげるつもりだったんだけど　|　我今天本来打算给你俩做晚饭的来着
EP02：作ってやんない　|　但我不做了
EP02：いや　大人というか　|　不对 与其说是大人
EP02：もはや…　|　不如说…
EP02：違う国の言語　|　更像是异国的语言
EP02：ねえ　一緒に作ろ　|　喂 一起做吧
EP02：ていうか　メインは君たち２人でやってね　|　不过 主要是你们两个来做
EP02：ちょ…　|　不是…
EP02：大丈夫大丈夫　|　没事没事
EP02：醍醐　|　醍醐
EP02：すでに掃除までさせてしまっているのに…　|　已经把打扫都交给她来做了…
EP02：はい　ややりたい　はい　|　想做 我想做
EP02：掃除までさせてしまっているのに？　|　打扫都交给她来做了？
EP02：食事まで作らせるわけには…　|　做饭再麻烦她的话…
EP02：包みたい　私ギョーザ包みたい　|　我想包饺子 包饺子
EP02：と言っておりますが　|　她是这么说的
EP02：べ…別に絶対だめと言っているわけではなくて…　|　也…也不是说一定不行…
EP02：でも槙生ちゃんが迷惑なら別に　|　但是如果小槙不想这样的话就算了
EP02：気まず　|　好尴尬
EP02：槙生君　|　槙生
EP02：私は君がまた自分はこんなこともできないとか言って　|　你可别又要说自己连这种小事都做不好
EP02：醍醐　|　醍醐
EP02：泣くところを絶対に見たくないのね　|　就哭起来了
EP02：醍醐　|　醍醐
EP02：はい　|　好
EP02：大人っぽくない　|　没有大人的样子
EP02：私には見せたことのない　槙生ちゃん　|　是我没见过的小槙
EP02：いい機会だと思いますよ　|　我觉得这是个好机会哦
EP02：では我々ただいまより　パオ団を結成いたします　|　那么从现在开始 包团正式成立
EP02：パオだん？　|　包团？
EP02：包む集団　その名もパオ団　|　包饺子的团体 也就是包团
EP02：ギョーザって中に何入れてもいいから　優秀よね　|　饺子里面不管包什么都好吃 真是好东西
EP02：具のリクエストある　|　有什么想包的馅吗
EP02：みょうが　|　茗荷
EP02：今何月だと思ってんだよ　|　你以为现在几月啊
EP02：包む女たち　|　包裹的女人们
EP02：これレンチンして　|　这个用微波炉叮一下
EP02：１分でいいや　|　1分钟就够了
EP02：はい　|　好
EP02：槙生はなすのへた取って　キャベツのみじん切り　|　槙生把茄子柄拔掉 然后把卷心菜切碎
EP02：はい　|　好
EP02：そういえば　醍醐んとこの犬　|　说起来 醍醐家的狗
EP02：キャベツの芯好きだったよね　|　好像很喜欢吃卷心菜的菜芯
EP02：ああ　そう　|　啊 对
EP02：ボリッボリ　いい音立てて食べんだよね　|　会吃得嘎叽嘎叽的 很香呢
EP02：食べないよ　|　才不吃呢
EP02：コーギー　|　柯基
EP02：いや　柴　|　不对 是柴犬
EP02：鼻真っ黒の　|　鼻子很黑的那种
EP02：黒くないし　鼻　|　我鼻子才不黑
EP02：縦に　そうそう　|　纵向切 对对
EP02：槙生　次なすレンチン　|　槙生 接着用微波炉热茄子
EP02：できんじゃん　みじん切り　|　很会切嘛
EP02：調理実習のとき　やりたかったのに男子に取られて　|　烹饪实习的时候 我想切却被男生抢走了
EP02：なにそいつ　|　那家伙什么情况
EP02：朝ちゃんのこと好きだったんじゃない　|　是不是喜欢小朝
EP02：いや　あいつねぎが好きだった　|　不是 那家伙喜欢吃大葱
EP02：急に槙生みたいなこと言わないで　|　不要突然说出像槙生一样的话啊
EP02：じゃあ　ねぎをボウルに移して　|　接着 把大葱倒到碗里
EP02：さて　交ぜるぞ　|　然后 要开始拌了哦
EP02：そんな変なこと言わないけど　|　我才不会说这种奇怪的话
EP02：言ってたの　俺はねぎが好きだって　|　你说过的 自己喜欢大葱
EP02：調味料は適当ね　|　加入适量调味料
EP02：ぐるぐるぐるぐる　一方向に　|　朝一个方向不停搅拌
EP02：醍醐さんって　なんでこんなにギョーザに詳しいんですか　|　醍醐姐为什么对饺子懂那么多
EP02：昔中華屋の店員さんに教えてもらったの　|　以前有个中餐店的店员教我的
EP02：片思いしてた　|　我单相思过
EP02：止まってる　|　别停
EP02：何それ　初耳　|　什么情况 第一次听说
EP02：黒歴史ですから　|　因为是我的黑历史
EP02：ギョーザを作るたびに思い出す　|　每次包饺子我都会想起
EP02：彼の　あの　|　他的 那些
EP02：許さん　|　不可原谅
EP02：じゃあやめとけよ　ギョーザ　|　那别包饺子了呀
EP02：ぐるぐる　ぐるぐる　ぐるぐる　|　拌呀拌呀拌
EP02：ぐるぐる　ぐるぐる　|　拌呀拌
EP02：私は何を食べていたんだろう　|　我以前都吃了什么来着
EP02：毎日作ってくれてたのに　|　明明每天都给我做饭吃
EP02：毎日おいしいと思っていたはずなのに　|　明明每天都觉得很好吃
EP02：おいしい　朝　|　好吃吗 朝
EP02：うん　|　嗯
EP02：思い出せない　|　想不起来
EP02：うちのギョーザ何が入ってたっけ　|　我家的饺子里面包了什么来着
EP02：では包みたまえ　パオ団よ　|　那就开始包吧 包团
EP02：はい　|　是
EP02：その間に私が秘伝のたれを作って進ぜよう　|　在此期间我会制作秘制酱料
EP02：秘伝？　|　秘制？
EP02：門外不出だぞ　あとで教えたげる　|　概不外传哦 之后教你
EP02：ライン教えて　|　给我你的LINE
EP02：はい　|　好
EP02：ゆるゆる秘伝だ　|　真是太保密了
EP02：ついでにそなたにも教えて進ぜるから　|　顺便也会教给你
EP02：朝ちゃん　ライン転送してあげて　|　小朝 用LINE转给她
EP02：はい　|　好
EP02：いや　交換しろ　|　喂 交换一下啊
EP02：ラインの交換　|　交换LINE
EP02：ずっと家にいたから　使う必要が　|　因为一直都在家里 没有用的必要
EP02：さあ　包むのだパオ団　|　那么开始包吧 包团
EP02：はい　|　是
EP02：にんにくしょうがオイスター　|　大蒜生姜蚝油
EP02：梅干しマスタード　|　梅干芥末酱
EP02：しそみそたまねぎ酢　|　紫苏味噌洋葱醋
EP02：そして王道の酢じょうゆラー油と山盛り針しょうがね　|　以及王道的醋酱油辣油和大碗姜丝
EP02：うまそ　|　好好吃的样子
EP02：インスタ用？　|　社交平台用？
EP02：インスタ用　|　社交平台用
EP02：よし　OK　|　好 可以了
EP02：いっただっき　|　我开动了
EP02：柴　|　柴犬
EP02：「最近どう」ね　|　「最近怎么样」吗
EP02：その友達は朝ちゃんのご両親のことは知ってるの　|　这位朋友知道小朝双亲的情况吗
EP02：知ってる　|　知道
EP02：そっか　|　这样啊
EP02：じゃあ優しいね　|　那她真温柔啊
EP02：まふお　|　槙生
EP02：すごく言葉を選んでくれた感じがするから　|　可以看出她措辞很久
EP02：「元気」「大丈夫」「そのあとどうなった」　|　「精神吗」「没事吧」「那之后怎样了」
EP02：それも正確に答えることはできないし　|　这些都很难回答
EP02：いかにも心配そうに聞くのも　|　不管是表现得过分关心
EP02：なんでもないふうを装うのも　難しい　|　还是表现得事不关己 都不得体
EP02：でもその子は「最近どう」って言葉に　|　但这个孩子的「最近怎么样」这句话里
EP02：頑張ってそういう気遣いを全部詰め込んでくれた感じがする　|　可以感受到她努力考虑这一切的贴心
EP02：だから　優しい　|　所以 很温柔
EP02：自分で言ってよ　|　你自己来说啊
EP02：いや　君のそういうとこ好きだわ　|　哎呀 我就好你这口
EP02：どうもです　|　承蒙抬举
EP02：手作りなんですか　これ　|　这是亲手做的吗
EP02：こんな地味なケーキ店で売れないし　|　蛋糕店里可不会卖这么朴素的
EP02：で　|　所以
EP02：結局なんて返事するの　|　你最后怎么回复的
EP02：「大丈夫だよ」とか　|　「没事的」之类的
EP02：いいじゃん　いいじゃん　|　不错 不错
EP02：うまっ　|　好吃
EP02：今日はあんがと　|　今天多谢了
EP02：いいえ　|　没事
