EP01 IN
EP01：灯荒仁です　|　我叫灯荒仁
EP01：マジバブマジ最高　|　烤肉真是太棒了
EP01：愛の前に神も仏もあるものか　|　在爱的面前神佛又算得了什么
EP01：顕珍様　|　显珍大人
EP01：なんで　|　为什么
EP01：またアイツが…　|　又遇到他…
EP01：ダメ　顕珍様　|　不要 显珍大人
EP01：うるせえ　ババア　|　吵死了 老太婆
EP01：このように　戦国時代というのは親子だろうが親友だろうが　|　因此 战国时代不论亲人还是朋友之间
EP01：容赦なく戦っていたわけです　|　都在不留情面地战斗
EP01：例えば　九州に相良義陽と甲斐宗運という武将がいました…　|　比如 九州有相良义阳和甲斐宗运两位武将…
EP01：恋するバンバンジーだよ　|　这道菜叫恋爱棒棒鸡
EP01：ババア…　|　老太婆…
EP01：かわいい　|　好可爱
EP01：授業　出ないの　|　没去上课吗
EP01：サボっちゃった　|　我翘掉了
EP01：昨日はごめんね　|　昨天真是抱歉
EP01：変なヤツらに絡まれちゃって　|　被几个奇怪的家伙缠上了
EP01：ううん　|　没事
EP01：あのね　私と　友達になってくれる　|　那个 能和我做朋友吗
EP01：もちろん　俺も神さんと仲よくなれたらって　|　当然 我也想和神同学好好相处
EP01：まほろでいいよ　荒仁くん　|　叫我真步路就好了 荒仁君
EP01：ファーストネーム呼びきたあ　|　出现了 直呼名字
EP01：土曜日　空いてる　|　这周六你有空吗
EP01：それって　もしかして　|　这 难道是
EP01：デー…　|　约…
EP01：荒ちゃん　|　小荒
EP01：アイツ　ホントにつえのかよ　|　那家伙 真的很强吗
EP01：そんなふうに見えねえけど　|　完全看不出来
EP01：荒ちゃんは　強くて　勇敢でカッコよくて　|　小荒很强哦 还非常勇敢帅气
EP01：俺の憧れなんだ　|　是我憧憬的人
EP01：意味わかんねえ　|　什么意思啊
EP01：あれまほろじゃね　|　那不是真步路吗
EP01：ヤベえ　真宝に教えてやんねえと　|　不好 得快点告诉真宝
EP01：イチ高名物　週末くるな　|　周末去见识威血高传统
EP01：いい色だけどなあ　|　颜色真漂亮啊
EP01：色をとるか　彫りやすさをとるか　|　选色彩好的 还是容易雕的呢
EP01：これは幻の石　鶏血　|　这是传说中的石头 鸡血
EP01：この色味と　肌触り　まさに…　|　这颜色 这触感 简直…
EP01：うわっ　んなろっ…　|　啊 可恶…
EP01：こないだは悪かったなあ　|　上次真是抱歉啊
EP01：いえ　|　没关系
EP01：まあ　仲よくやろうや　|　我们好好相处吧
EP01：また…コイツ　きったねえぞ　|　又来…这家伙太卑鄙了
EP01：勝負にきったねえもクソもあるかよ　|　比赛里边何谈下流卑鄙啊
EP01：なあ　荒ちゃん　|　对吧 小荒
EP01：オラオラオラ　くらえ必殺…　|　看招看招看招 吃我必杀…
EP01：メイファン　ウィン　|　梅芳 获胜
EP01：うまいねえ　君　|　你玩得真不错呀
EP01：威血頭高？　|　威血头高中的？
EP01：見たところ　魅那斗とかシグマには入ってないみたいだけど　|　看起来 好像没有加入魅那斗和西格玛
EP01：もちろんす　|　当然没有
EP01：縁もゆかりもないっす　|　我跟他们毫无关系
EP01：そのくせ　堂々と遊んでくれてんのな　|　亏你敢在这里大大方方地玩呢
EP01：うちのシマでナメられたもんだぜなあ　|　在我们的地盘上撒野呢
EP01：僕　転校してきたばっかで…　|　我刚刚转学过来…
EP01：失礼しゃす　|　先失陪了
EP01：100人目の獲物　おめでと　|　恭喜你成为第一百头猎物
EP01：待ちやがれ　|　站住
EP01：パンツも置いてけやあ　|　把内裤也留下
EP01：やっぱ　よええじゃねえか　|　果然很弱嘛
EP01：パンイチ待てえ　|　站住 内裤男
EP01：待て待てえ　|　站住站住
EP01：いらっしゃいませ　|　欢迎光临
EP01：どの子にしましょう　|　需要哪一位的服务呢
EP01：えっと…　|　那就…
EP01：ジャスミンちゃんで　|　茉莉小姐
EP01：はーい　ジャスミンちゃん入りました　|　好的 茉莉小姐的客人
EP01：僕こういうお店初めてで　|　我第一次来这种店
EP01：君のこと　ジャスミンちゃんって呼んでいいかな　|　我能叫你茉莉小姐吗
EP01：いたぞ　|　找到他了
EP01：オラ待て　|　站住
EP01：オラ待て　|　站住
EP01：出てこい　オラ　|　滚出来
EP01：開けろ　|　给我打开
EP01：なんなんだよ　コイツら　|　干什么啊这帮家伙
EP01：来るな　|　别过来
EP01：おもちゃ持ってどうしたよ　|　拿着把玩具枪想干什么
EP01：来るんじゃねえ　|　别靠近我
EP01：ぶっころーす　|　做掉你哦
EP01：なんだコイツ…　|　怎么回事这家伙…
EP01：待てよ　|　等等我
EP01：頭イテェ　|　头好痛
EP01：なんだこれ　|　这是什么
EP01：俺は　マジン千夜　|　我是 魔人千夜
EP01：さあ　望みを言え　|　来吧 说出你的愿望
EP01：なんか　弱っちそうだなあ　|　总感觉你很弱呀
EP01：こりゃまたハズレか　|　又找错人了吗
EP01：マジン？　|　魔人？
EP01：ほら　「本気」って書いて「マジ」って読むだろ　|　你看 写作「浩气」读作「魔」对吧
EP01：だから　「本気人」って書いて　「マ　ジ　ン」　|　所以说写作「浩气之人」就是「魔人」
EP01：なあんつって　|　开个玩笑啦
EP01：本気人って　あの伝説の…　|　浩气之人难道是那个传说…
EP01：まっ　そんなとこ　|　就是这样
EP01：さあ　お前の望みを言え　|　来吧 说出你的愿望
EP01：俺の　望み？　|　我的 愿望？
EP01：富か　名誉か　力か？　|　财富 名誉 还是力量？
EP01：ドーテー捨てたい　|　我想处男毕业
EP01：かな　|　可以吗
EP01：しようがねえなあ　|　真拿你没办法啊
EP01：男の子だもんな　|　毕竟是男孩子嘛
EP01：マジで　|　真的可以吗
EP01：ほんじゃ　いっちょ　|　那么
EP01：合体しとく　|　要跟我合体吗
EP01：合体合体うるせえんだよ　|　合体合体的吵死了
EP01：なんでお前となんだよ　ふざけんな　|　为什么是和你啊 别开玩笑了
EP01：あの　コイツって見えます　|　请问 你们能看见他吗
EP01：で　アイツパンイチで逃げてってさ　|　接着 那家伙就穿着内裤逃走了
EP01：今思い出しても　ウケる　|　现在想起来都好好笑
EP01：マジ情けねえにも程があるっつうか　|　真是丢脸也不带这么丢的啊
EP01：荒ちゃん　優しいから　|　毕竟小荒很温柔
EP01：ケンカ嫌いなんだよ　|　他很讨厌打架
EP01：変わってないな　|　真是一点没变呀
EP01：んなわけねえじゃん　|　怎么可能
EP01：不良とか　かったりいし　|　小混混很无聊啊
EP01：ダセえし　|　又很俗气
EP01：楽して稼ぎたい　|　想轻松地把钱挣了
EP01：世も末だなあ　|　社会真是无药可救
EP01：ちったあ本気になれよ　|　稍微认真一点啊
EP01：なあ　|　是吧
EP01：これかなあ　|　是这个了吧
EP01：それ　もしかして　好きな子の名前　|　这难道是你喜欢女生的名字
EP01：それ　あげんの　|　要把这个给她吗
EP01：なんで石　|　为什么是石头
EP01：紙でよくね　|　用纸不是更好吗
EP01：そんなんじゃ伝わるもんも　伝わんねえだろうが　|　用纸的话就传达不到我的心意了
EP01：これは　未来永劫彼女を守り続けるラブフォーエバーストーン　|　这是会一直守护她的爱情永恒之石
EP01：つまり　灯荒仁から神荒仁へと生まれ変わる　俺自身なんだ　|　也象征着从灯荒仁变成神荒仁的我自己
EP01：わりい　まったくわかんねえ　|　抱歉 我完全没明白
EP01：それカッコいい　どうしたの　|　那个好帅 要干什么吗
EP01：デート？　|　约会？
EP01：ちょちょちょ…ちげえよ　|　等等等…不是啦
EP01：デートだあ　|　是约会啊
EP01：人生初のデートだからって遠慮するこたあないんだよ　|　不要因为是人生第一次约会就束手束脚的哦
EP01：いけるとこまでいっといで　|　能做的全部做了
EP01：うっせえ　ババア　|　吵死了 老太婆
EP01：話しかけんなよ　人生懸かってんだからな　|　不要跟我说话哦 这关乎我的人生
EP01：へいへい　|　好 好
EP01：荒仁くん　|　荒仁君
EP01：待った？　|　久等了？
EP01：全然　|　完全没有
EP01：今　誰かと話してなかった　|　刚刚 在和谁说话吗
EP01：ちょっと独り言　|　自言自语而已
EP01：じゃあ行こっか　|　那我们出发吧
EP01：どうかした　|　怎么了
EP01：ううん　|　没有
EP01：おいしいね　|　真好吃
EP01：だね　|　是吧
EP01：石渡さねえのかよ　なあ　|　不把石头给她吗 喂
EP01：うっせえ　|　吵死了
EP01：なんでもないから　|　没事没事
EP01：私　うれしい　|　我很高兴
EP01：荒仁くんが転校してきてくれて　|　荒仁君转学过来了
EP01：今だ　いけ　いけよ　|　就现在 上啊 快上
EP01：ほら　いっちまえ　|　快 冲上去
EP01：ここでいかなきゃ　どこでいくんだよ　|　现在不上还要等到什么时候
EP01：逃げんじゃねえぞ　|　不要逃避了
EP01：やってやんよ　|　那我就上给你看
EP01：なんか　変な音したけど　|　好像 有什么奇怪的声音
EP01：具合悪いの?　|　身体不舒服？
EP01：いや　その…　|　没有 那个…
EP01：俺は　いざってときにいつも…　|　我一到关键时候总是这样…
EP01：あの　ごめん　ホントに俺…　|　不好意思 我真是…
EP01：よかったね　間に合って　|　太好了 还能赶上
EP01：まほろちゃん　|　真步路
EP01：これ　|　这个给你
EP01：何　この石　|　这块石头是什么
EP01：ま　ほ　ろ？　|　真 步 路？
EP01：それ　ラブフォーエバーストーン　|　那是爱情永恒之石
EP01：俺　神さんが…　|　我 对神同学…
EP01：まほろちゃんのことが　すっ…　|　对真步路 喜…
EP01：着いたぞ　|　到了
EP01：あの　どちら様でしょうか　|　请问 您是哪位
EP01：俺は　|　我是
EP01：シグマスクワッド　ヘッド　|　西格玛组的头子
EP01：神摩利人　|　神摩利人
EP01：はい　お疲れさまです　|　好的 您辛苦了
EP01：行こっか　まほろちゃん　|　我们走吧 真步路
EP01：荒仁くん　|　荒仁君
EP01：私のために戦って　|　请为我而战吧
EP01：いい度胸だ　|　胆子不小
EP01：俺の妹に　手え出すなんてな　|　居然敢打我妹妹的主意
EP01：妹？　|　妹妹？
EP01：なんだよ　こんな所に呼び出して　|　有什么事 把我叫到这种地方来
EP01：見ろよ　|　看那边
EP01：荒ちゃん　|　小荒
EP01：アイツ　生きて帰れっかなあ　|　那家伙能活着回来吗
EP01：立て　|　站起来
EP01：死ぬ　マジで殺される　|　会死 真的会被杀死
EP01：立てよ　ゴラ　|　站起来啊 混蛋
EP01：立って　まほろを幸せにしてみろ　|　站起来 给真步路幸福啊
EP01：まほろのために　キレてるお兄ちゃん　|　为了真步路大发雷霆的哥哥
EP01：カッコいい　|　好帅
EP01：35人目の犠牲者かあ　|　第35个牺牲者吗
EP01：かわいそ　|　真可怜
EP01：今回も　ダメだったか　|　这次也不行吗
EP01：こんなヤツと合体しても　|　就算跟这种人合体
EP01：アイツには　会えねえ　|　也见不到那家伙吧
EP01：死んで　たまるか　|　我怎么能死
EP01：こんな　とこで　|　在这种地方
EP01：こんな　ままで　|　这样轻易地死去
EP01：さあ言え　|　来吧 说吧
EP01：お前の真の願いを　|　说出你真正的愿望
EP01：俺の…　|　我的…
EP01：願いは…　|　愿望是…
EP01：ドーテー捨ててえ　|　处男毕业
EP01：ぶっちぎり　|　绽裂
EP01：来週もぶっちぎりちゃうぜ　|　下周也要绽裂
EP01：#啾啾饭店
EP01：#中华 啾啾饭店
EP01：#特选 九死一生 使用特制纯水
EP01：#啾啾饭店 营业中
EP01：#寺庙的新娘
EP01：#社神气浩
EP01：#人之气浩
EP01：#浩气美食街
EP01：#年轻人现状
EP01：#高一学生
EP01：#高三学生
EP01：#魔法般的百科词典 假想朋友
EP01：#想载你一程！啾啾·青椒肉丝列车！
EP01 OUT

EP02 IN
EP02：摩利人くん　|　摩利人先生
EP02：摩利人くん？摩利人くん？　|　摩利人先生？摩利人先生？
EP02：今の…　|　刚刚那拳…
EP02：まるで…　|　简直就像…
EP02：本気人みたいだ　|　浩气之人一样
EP02：なに？　|　怎么回事？
EP02：どゆこと？　|　发生什么了？
EP02：ゴルァ　なんなんだよドーテー捨ててえって　|　什么叫处男毕业啊
EP02：お前が願い言えっつったんだろうが　|　是你叫我说出愿望的
EP02：そこは流れ的に強くなりてえだろうが　|　这种情况应该说想要变强吧
EP02：お兄ちゃん？　|　哥哥？
EP02：摩利人？　|　摩利人？
EP02：ワックワクだ　|　热血沸腾啊
EP02：荒ちゃん　|　小荒
EP02：大丈夫　流ちゃん　|　没事吧 小流
EP02：真宝…　|　真宝…
EP02：サツだ　|　警察来了
EP02：ズラかれ　|　快逃
EP02：摩利人？　|　摩利人？
EP02：きめた　|　决定了
EP02：荒ティン　シグマにいれるっ　|　我要让荒弟加入西格玛
EP02：荒ちゃん　大丈夫　|　小荒 你没事吧
EP02：真宝？　|　真宝？
EP02：イッ…テテテ　|　好…痛
EP02：覚えてないの　|　你不记得了吗
EP02：あの摩利人くんに一発入れたじゃん　|　居然给了那个摩利人一拳
EP02：すごかったよ　|　好厉害
EP02：摩利人？　|　摩利人？
EP02：まほろちゃんは　|　真步路呢
EP02：帰ったんじゃないかな　|　应该回家了吧
EP02：やっぱお兄さんに勝っちまったのはまずかったか　|　果然赢她哥哥不太合适吗
EP02：ったく　なんであのクソチビのために買い出しに　|　真是 为什么要我去给那臭矮子买东西
EP02：テメエ　シグマの　|　你小子 是西格玛的人
EP02：おい　待て　|　站住
EP02：ここって？　|　这里是？
EP02：銭湯やってる親戚の家に　今も住まわせてもらってるんだ　|　这是开澡堂的亲戚家 我一直住在这里
EP02：懐かしいでしょ　|　还记得这个吧
EP02：昔　荒ちゃんがくれた親友ストーン　|　以前小荒给我的挚友之石
EP02：これ握ったら強くなれるって　|　你说握着它就能充满力量
EP02：荒ちゃんはもう　持ってないかな　|　小荒的已经不在了吧
EP02：俺　帰るわ　|　我先回去了
EP02：荒ちゃん　|　小荒
EP02：俺のこと避けるようになったのは　俺が弱かったから　|　你总是躲着我 是因为我太弱了吗
EP02：そんな昔のこと覚えてねえよ　|　那么久远的事情我早忘了
EP02：なあ　|　我说
EP02：アイツとタイマン張ろうぜ　なあ　|　去找那家伙干一架吧
EP02：うっせえ　やるわけねえだろ　|　说什么呢 不可能去的吧
EP02：大丈夫　大丈夫　|　没事的 没事的
EP02：今日は負けても　明日は勝つって　|　今天输了 明天也能赢回来
EP02：今日勝ったじゃん　|　今天不是赢了吗
EP02：負けたよ　|　输掉了哦
EP02：あれ　魅那斗とシグマだろ　|　那是魅那斗和西格玛吧
EP02：年中ケンカしてんのな　|　他们总是在打架呢
EP02：ちょっ　引っ張んな　|　住手 别拉了
EP02：見える　見えちゃう　|　看见了 要被看见了
EP02：いらっしゃいませ　|　欢迎光临
EP02：今日は　どの子にしましょう　|　今天需要哪一位的服务呢
EP02：えっ　と…　|　这个…
EP02：ジャスミンちゃんで　|　茉莉小姐
EP02：はーい　ジャスミンちゃんマシマシで　|　好的 茉莉小姐又来客人了
EP02：また来ちゃった　君のこと忘れられなくて　|　我又来了 我忘不了你
EP02：そんなにピッタリくっつかれたら僕…　|　贴得这么紧我快要…
EP02：ワラワラワッショイ　|　冲啊冲啊
EP02：止まって　お願い　|　快停下来 求你了
EP02：遅かったか　|　来晚了吗
EP02：お前　なんでここに　|　你在这干什么
EP02：ピンピンしてんじゃねえかよ　クソ　|　怎么还活蹦乱跳的 真是该死
EP02：呼んだ？　|　你叫我？
EP02：イッテェ　|　好痛
EP02：今日はさんざんな一日だった　|　今天真是受够了
EP02：にしてもあのとき…　|　说起来那个时候…
EP02：すげえ力がみなぎってきて　|　身体被惊人的力量填满
EP02：自分じゃないみたいだった　|　感觉都不像是自己了
EP02：お前いったい何モンなんだよ　|　你到底是什么人啊
EP02：だからあ　|　都说过了
EP02：俺の名は千夜　|　我叫千夜
EP02：我こそは本気人…　|　真正的浩气之人…
EP02：に　最も近づいた男だ　|　我是最接近的男人
EP02：なってねえのかよ　|　原来不是啊
EP02：つうか　本気人ってただの伝説だろ　|　再说了 浩气之人只是传说吧
EP02：俺と合体したらすげえパンチ打てたろ　|　跟我合体时你打出了不得了的一拳吧
EP02：まだ合体率低いから一発きりだったけど　|　不过因为合体程度低所以只有一拳
EP02：合体率？　|　合体程度？
EP02：身も心も一つにならねえと強くはなれねえ　|　肉体和内心不能融为一体的话是不会变强的
EP02：身も心もって？　|　肉体和内心？
EP02：お前と？　|　和你？
EP02：俺と　|　和我
EP02：一つに？　|　融为一体？
EP02：ピッタリと　|　紧密融合
EP02：ってかなんで俺と合体してえんだよ　|　话说为什么想跟我合体呢
EP02：それはだなあ…　|　这是因为…
EP02：男にはあるだろ　|　男人都会有吧
EP02：合体したくてしたくて　眠れねえ夜ってやつがよ　|　因为太想合体 而无法入睡的夜晚
EP02：あるな　それ　|　是啊 都会有的
EP02：デートでチューできた　|　约会时亲上了吗
EP02：勝手に開けんな　ババア　|　不要随便开门啊 老太婆
EP02：お兄ちゃん　痛くない　|　哥哥 痛吗
EP02：ここ来んなっつってんだろ　|　都叫你不要来这里了
EP02：だって　まほろお兄ちゃんが心配なんだもん　|　但是 真步路很担心哥哥嘛
EP02：待て　|　停下
EP02：おい　コラ　|　站住
EP02：失礼しゃす　|　失敬
EP02：蛇走っす　お話いいっすか　|　在下蛇走 能聊两句吗
EP02：ここは100年はええぞ　一年坊　|　要进出这里还早了一百年 一年级小鬼
EP02：王太　いいよお　|　王太 没关系
EP02：マジバブ食う　|　要吃烤肉吗
EP02：いただきやす　|　那就不客气了
EP02：昨日　タットが魅那斗の真宝のあとつけたんすけど　|　昨天 达兔跟踪了魅那斗的真宝
EP02：灯荒仁ってヤツを家に連れていきました　|　看见他把灯荒仁带回家了
EP02：魅那斗とつるんでるヤツうちに入れるんすか　|　您打算招纳跟魅那斗有关系的人吗
EP02：だったら真宝も入れちゃおっかなあ　|　那就把真宝也拉拢过来吧
EP02：アイツ　強そうだし　|　那家伙 好像挺厉害的
EP02：いい音　|　声音不错
EP02：リュウちゃん　大丈夫　|　小流 你没事吧
EP02：摩利人くんの後継ぐの俺なんで　|　摩利人先生的继承人 只能是我
EP02：灯荒仁だ　|　是灯荒仁
EP02：あのチビが神摩利人を…　|　那矮子把神摩利人给…
EP02：俺がタイマン張ってやる　|　我去和他打一架
EP02：いや　俺が先だ　|　不行 让我先上
EP02：モッテモテじゃん　|　你很受欢迎嘛
EP02：男にモテてどうすんだよ　|　受男生欢迎有什么用啊
EP02：アイツメンチ切ったぞ　|　那家伙瞪着我们哦
EP02：やろうぜ　やったろうぜ　|　上吧 上去揍他一顿
EP02：うるせえ　|　吵死了
EP02：いや　ちがくて…　|　不是 没说你们…
EP02：アーラティーン　|　荒弟
EP02：お兄…様？　|　哥哥…大人？
EP02：失礼します　|　我告辞了
EP02：真宝　|　真宝
EP02：やっぱあのクソチビと関わんねえほうがいい　|　最好还是别和那臭矮子扯上关系
EP02：なんかヤベえの取りついてやがるし　|　好像有什么不干净的东西缠着他
EP02：そういう言い方やめろよ　なんだよそれ　|　别再说这种话了 到底什么意思
EP02：座布って見えるもんな　そういうの　|　毕竟座布能看见那种东西呢
EP02：俺さ　荒ちゃんを魅那斗會に誘おうと思ってるんだ　|　我其实想让小荒加入魅那斗会
EP02：あんなヤツ？　|　让那种家伙？
EP02：拳さんが認めるわけねえだろ　|　拳先生不可能同意的吧
EP02：その拳さんが　会ってみたいって　|　拳先生说想见他一面
EP02：拳さんが？　|　拳先生？
EP02：わかんねえ　あんなヤツのどこがいいんだよ　|　我不明白 那家伙有什么好的
EP02：荒ちゃんの拳　まるで本気人みたいだった　|　小荒的拳头 就和浩气之人一样
EP02：お前さあ　なんであんな言い伝え真に受けてんだよ　|　我说你啊 怎么还把那种传说当真呢
EP02：ただのおとぎ話じゃねえか　|　不过是童话故事罢了
EP02：真宝　アラティン何組か知ってる　|　真宝 你知道荒弟在几班吗
EP02：荒ちゃんに何か用ですか　|　你找小荒有什么事
EP02：シグマに入れんの　|　让他加入西格玛
EP02：彼はねえ　一度も負けることはなかったそうで　|　因为他未尝一败
EP02：有名な佐々木小次郎との戦いは　|　和佐佐木小次郎的那场著名战斗
EP02：さまざまな…　|　被各种各样…
EP02：俺はお前とやりたかった　|　我也想和你交手啊
EP02：武蔵　|　武藏
EP02：うるせえ　|　吵死了
EP02：なんでもないです　|　不好意思
EP02：じゃあ　次のページ…　|　那么 下一页…
EP02：まだあの子のこと好きなの　|　你还喜欢着那个女孩吗
EP02：兄貴にお前ボコらせたのに　|　她都让哥哥揍你一顿了
EP02：ちげえよ　|　才不是
EP02：お兄さんはかわいい妹の彼氏に試練を…　|　哥哥只是想考验他可爱妹妹的男友…
EP02：でも　さっきバックレたじゃん　|　但是你刚刚还逃走了
EP02：あれは足が勝手に　|　那是腿自己动的
EP02：アラティーン　|　荒弟
EP02：まほろはお兄ちゃんとずっといたいのに　|　明明真步路想和哥哥一直在一起
EP02：あんなキモ石男のことばっかり　|　你却一心想着那个恶心的石头男
EP02：お兄ちゃん聞いてる　|　哥哥你有在听吗
EP02：もう　|　真是的
EP02：まほろちゃん　|　真步路
EP02：奇遇だなあ　たまたま通りかかったらまほろちゃんがいるなんて　|　真巧啊 偶然路过这里没想到真步路也在
EP02：チューチュー・チンジャオロースだよっ　|　啾啾·青椒肉丝哦
EP02：ババア　|　老太婆
EP02：昨日はごめんね　|　昨天真对不起
EP02：せっかくお兄さん紹介してくれたのに　|　明明你特意介绍哥哥给我认识
EP02：俺　お兄さんともう一度タイマン張って認めてもらうよ　|　我想再和哥哥比试一场 让他认可我
EP02：だから…　|　所以…
EP02：今度お兄ちゃんを傷つけたら殺すから　|　再敢让哥哥受伤 我就杀了你
EP02：これ返す　|　这东西还给你
EP02：でもそれ　ラブフォーエバーストーンだから…　|　但这是爱情永恒之石…
EP02：ストーンが　ブロークンしちゃったね　|　石头 碎掉了呢
EP02：お兄ちゃん　一緒に帰ろ　|　哥哥 一起回去吧
EP02：来いよ　ほら　|　来吧 过来
